20	7	8.24	1	2
30	6.56	10	1	2
40	5.16	13.5	1	2
43	4.28	14.4	1	2
45	3.56	15.1	0.5	2
48.5	2.34	15.2	0.5	2
49	2.22	15.2	0.5	2
49.5	2.12	15.1	0.5	2
50	2.1	14.9	0.5	2
50.3	2.08	14.9	0.5	2
50.5	2.08	14.8	0.5	2
50.8	2.1	14.8	0.5	2
50.87	2.12	14.8	0.5	2
51.5	2.2	14.4	0.5	2
52	2.28	14.3	0.5	2
52.5	2.44	14	0.5	2
53	2.54	13.8	0.5	2
57	3.78	11.7	0.5	2
60	4.56	10	1	2
70	5.96	6.25	1	1
80	6.44	4.2	1	1
90	6.68	3.06	1	0.5
100	6.84	2.32	1	0.5
